"year","sex","agegrp","pop"
2002,"Persons",12,206149
2002,"Persons",13,157170
2002,"Persons",14,124341
2002,"Persons",15,109968
2002,"Persons",16,89368
2002,"Persons",17,59820
2002,"Persons",18,45777
2003,"Persons",1,249136
2003,"Persons",2,263192
2003,"Persons",3,271030
2003,"Persons",4,263067
2003,"Persons",5,260257
2003,"Persons",6,253744
2003,"Persons",7,282783
2003,"Persons",8,271826
2003,"Persons",9,287250
2003,"Persons",10,263140
2003,"Persons",11,248247
2003,"Persons",12,221966
2003,"Persons",13,164658
2003,"Persons",14,129954
2003,"Persons",15,110547
2003,"Persons",16,91700
2003,"Persons",17,62881
2003,"Persons",18,47743
2004,"Persons",1,252686
2004,"Persons",2,264715
2004,"Persons",3,277053
2004,"Persons",4,266356
2004,"Persons",5,270110
2004,"Persons",6,254823
2004,"Persons",7,287829
2004,"Persons",8,275567
2004,"Persons",9,292964
2004,"Persons",10,271497
2004,"Persons",11,252628
2004,"Persons",12,232978
2004,"Persons",13,174177
2004,"Persons",14,136538
2004,"Persons",15,111015
2004,"Persons",16,93968
2004,"Persons",17,65553
2004,"Persons",18,49513
2005,"Persons",1,257937
2005,"Persons",2,266690
2005,"Persons",3,281826
2005,"Persons",4,271086
2005,"Persons",5,279530
2005,"Persons",6,259002
2005,"Persons",7,289772
2005,"Persons",8,282539
2005,"Persons",9,296180
2005,"Persons",10,279236
2005,"Persons",11,257340
2005,"Persons",12,241651
2005,"Persons",13,184879
2005,"Persons",14,143001
2005,"Persons",15,112001
2005,"Persons",16,95209
2005,"Persons",17,67962
2005,"Persons",18,52653
2006,"Persons",1,263024
2006,"Persons",2,270479
2006,"Persons",3,284376
2006,"Persons",4,276653
2006,"Persons",5,287931
2006,"Persons",6,267436
2006,"Persons",7,287650
2006,"Persons",8,294273
2006,"Persons",9,296377
2006,"Persons",10,287466
2006,"Persons",11,262954
2006,"Persons",12,249271
2006,"Persons",13,195086
2006,"Persons",14,148461
2006,"Persons",15,113998
2006,"Persons",16,96703
2006,"Persons",17,69805
2006,"Persons",18,56049
2007,"Persons",1,274026
2007,"Persons",2,274162
2007,"Persons",3,285847
2007,"Persons",4,285158
2007,"Persons",5,295146
2007,"Persons",6,279683
2007,"Persons",7,286709
2007,"Persons",8,307116
2007,"Persons",9,296441
2007,"Persons",10,296891
2007,"Persons",11,268299
2007,"Persons",12,249301
2007,"Persons",13,210850
2007,"Persons",14,155584
2007,"Persons",15,117705
2007,"Persons",16,97580
2007,"Persons",17,71219
2007,"Persons",18,59301
2008,"Persons",1,287464
2008,"Persons",2,277331
2008,"Persons",3,288551
2008,"Persons",4,293429
2008,"Persons",5,302810
2008,"Persons",6,295298
2008,"Persons",7,287417
2008,"Persons",8,317688
2008,"Persons",9,297856
2008,"Persons",10,304926
2008,"Persons",11,274076
2008,"Persons",12,252542
2008,"Persons",13,223666
2008,"Persons",14,162231
2008,"Persons",15,121698
2008,"Persons",16,97840
2008,"Persons",17,73082
2008,"Persons",18,61600
2009,"Persons",1,299058
2009,"Persons",2,282182
2009,"Persons",3,290707
2009,"Persons",4,299968
2009,"Persons",5,313364
2009,"Persons",6,312139
2009,"Persons",7,290831
2009,"Persons",8,323289
2009,"Persons",9,301900
2009,"Persons",10,310321
2009,"Persons",11,281500
2009,"Persons",12,255768
2009,"Persons",13,232255
2009,"Persons",14,171215
2009,"Persons",15,127308
2009,"Persons",16,98054
2009,"Persons",17,74815
2009,"Persons",18,64097
2010,"Persons",1,304196
2010,"Persons",2,287089
2010,"Persons",3,291167
2010,"Persons",4,302122
2010,"Persons",5,318519
2010,"Persons",6,321710
2010,"Persons",7,294302
2010,"Persons",8,322677
2010,"Persons",9,308129
2010,"Persons",10,311129
2010,"Persons",11,288207
2010,"Persons",12,259150
2010,"Persons",13,239144
2010,"Persons",14,181255
2010,"Persons",15,133424
2010,"Persons",16,99195
2010,"Persons",17,76380
2010,"Persons",18,66949
2011,"Persons",1,304330
2011,"Persons",2,293748
2011,"Persons",3,293760
2011,"Persons",4,302861
2011,"Persons",5,321770
2011,"Persons",6,326943
2011,"Persons",7,301014
2011,"Persons",8,317445
2011,"Persons",9,320163
2011,"Persons",10,309313
2011,"Persons",11,296164
